"","Name","Firm","Price","Volume","Count","unit_price","Year"
"84","苯磺酸氨氯地平片","苏州东瑞制药有限公司",13.6,"5mg",14,0.971428571428571,2015
"85","苯磺酸氨氯地平片","苏州东瑞制药有限公司",22.35,"10mg",7,3.19285714285714,2015
"86","苯磺酸氨氯地平片","苏州俞氏药业有限公司",8.35,"5mg",14,0.596428571428571,2015
"87","苯磺酸氨氯地平片","苏州俞氏药业有限公司",11.77,"5mg",20,0.5885,2015
"88","苯磺酸氨氯地平片","武汉东信医药科技有限责任公司",8.35,"5mg",14,0.596428571428571,2015
"89","苯磺酸氨氯地平片","西安汉丰药业有限责任公司",8.35,"5mg",14,0.596428571428571,2015
"90","苯磺酸氨氯地平片","浙江京新药业股份有限公司",4.87,"5mg",7,0.695714285714286,2015
"91","苯磺酸氨氯地平片","浙江京新药业股份有限公司",9.5,"5mg",14,0.678571428571429,2015
"92","盐酸氨溴索注射液","成都百裕科技制药有限公司",5.9,"30mg",1,5.9,2015
"93","盐酸氨溴索注射液","成都百裕科技制药有限公司",3.47,"15mg",1,3.47,2015
"94","盐酸氨溴索注射液","成都天台山制药有限公司",5.72,"15mg",1,5.72,2015
"95","盐酸氨溴索注射液","成都天台山制药有限公司",9.72,"30mg",1,9.72,2015
"96","盐酸氨溴索注射液","国药集团国瑞药业有限公司",5.47,"15mg",1,5.47,2015
"97","盐酸氨溴索注射液","河北爱尔海泰制药有限公司",5.7,"15mg",1,5.7,2015
